id,time,line_ref,vehicle_id,number_plate,journey_id,direction,origin,destination,origin_est_departure,destination_est_arrival,latitude,longitude,bearing
1907,2024-10-06 12:37:54.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598211,-2.721250,303
1908,2024-10-06 12:38:11.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.625076,-3.025486,83
1909,2024-10-06 12:38:26.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.894898,-3.069716,322
1910,2024-10-06 12:38:35.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598421,-2.721705,305
1911,2024-10-06 12:38:21.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.956086,-3.190826,243
1912,2024-10-06 12:38:18.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.618058,-2.811310,320
1913,2024-10-06 12:38:24.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.875978,-3.173400,202
1914,2024-10-06 12:38:43.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.895570,-3.071766,290
1915,2024-10-06 12:38:44.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598675,-2.722481,296
1916,2024-10-06 12:38:46.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.798463,-3.222728,348
1917,2024-10-06 12:38:43.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624788,-3.021918,106
1918,2024-10-06 12:39:00.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.895586,-3.072043,285
1919,2024-10-06 12:39:06.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.599133,-2.724396,294
1920,2024-10-06 12:39:01.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.619711,-2.813621,304
1921,2024-10-06 12:39:07.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.623711,-3.019400,124
1922,2024-10-06 12:39:25.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.895945,-3.073080,290
1923,2024-10-06 12:39:06.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.599133,-2.724396,294
1924,2024-10-06 12:39:24.000,X62,11619,YN66BBV,1355,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 12:55:00.000,2024-10-06 14:55:00.000,55.955930,-3.191646,NULL
1925,2024-10-06 12:39:25.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.875756,-3.173551,199
1926,2024-10-06 12:39:15.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.623711,-3.018571,85
1927,2024-10-06 12:39:52.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.896828,-3.075936,249
1928,2024-10-06 12:39:39.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.599653,-2.728371,261
1929,2024-10-06 12:39:48.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.809275,-3.228406,343
1930,2024-10-06 12:39:36.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.875055,-3.174098,203
1931,2024-10-06 12:39:49.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.623651,-3.016193,92
1932,2024-10-06 12:40:22.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.897030,-3.081635,299
1933,2024-10-06 12:40:20.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598931,-2.734555,256
1934,2024-10-06 12:40:26.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.815083,-3.227743,37
1935,2024-10-06 12:40:15.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.871018,-3.177246,205
1936,2024-10-06 12:40:14.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624211,-3.012520,71
1937,2024-10-06 12:40:42.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.897281,-3.086363,278
1938,2024-10-06 12:40:20.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598931,-2.734555,256
1939,2024-10-06 12:40:26.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.815083,-3.227743,37
1940,2024-10-06 12:40:33.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.622153,-2.820473,NULL
1941,2024-10-06 12:40:39.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.869068,-3.178286,180
1942,2024-10-06 12:40:36.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624376,-3.011948,66
1943,2024-10-06 12:41:05.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.818380,-3.221451,74
1944,2024-10-06 12:41:20.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598378,-2.740091,158
1945,2024-10-06 12:41:18.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.819810,-3.220095,9
1946,2024-10-06 12:41:23.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.623055,-2.822558,316
1947,2024-10-06 12:41:13.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.626021,-3.006701,60
1948,2024-10-06 12:41:21.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598288,-2.740026,159
1949,2024-10-06 12:41:37.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.623081,-2.822645,316
1950,2024-10-06 12:41:30.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.866906,-3.180415,203
1951,2024-10-06 12:41:32.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.626208,-3.006156,58
1952,2024-10-06 12:41:57.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.901153,-3.094371,312
1953,2024-10-06 12:41:47.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.596565,-2.740005,251
1954,2024-10-06 12:41:57.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.824188,-3.221818,353
1955,2024-10-06 12:41:49.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.623491,-2.823438,302
1956,2024-10-06 12:42:13.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.903040,-3.096886,325
1957,2024-10-06 12:42:06.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.596121,-2.741480,191
1958,2024-10-06 12:41:57.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.824188,-3.221818,353
1959,2024-10-06 12:42:05.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.862963,-3.183458,203
1960,2024-10-06 12:42:41.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.595856,-2.742045,267
1961,2024-10-06 12:42:29.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.826425,-3.221421,57
1962,2024-10-06 12:42:29.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.624738,-2.828688,297
1963,2024-10-06 12:42:34.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.629851,-2.991673,84
1964,2024-10-06 12:42:55.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.596358,-2.742873,10
1965,2024-10-06 12:43:04.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.827813,-3.221473,274
1966,2024-10-06 12:43:07.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.857278,-3.185693,222
1967,2024-10-06 12:43:15.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.908400,-3.106521,320
1968,2024-10-06 12:43:24.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597285,-2.743115,316
1969,2024-10-06 12:43:17.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.827813,-3.221575,276
1970,2024-10-06 12:43:25.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.625805,-2.831785,299
1971,2024-10-06 12:43:07.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.857278,-3.185693,222
1972,2024-10-06 12:43:19.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.628656,-2.980093,136
1973,2024-10-06 12:43:39.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.910373,-3.109885,308
1974,2024-10-06 12:43:24.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.597285,-2.743115,316
1975,2024-10-06 12:43:35.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.827870,-3.221781,290
1976,2024-10-06 12:43:25.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.625805,-2.831785,299
1977,2024-10-06 12:44:02.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.598798,-2.745575,307
1978,2024-10-06 12:44:16.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.830180,-3.223780,343
1979,2024-10-06 12:43:57.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.852773,-3.190671,218
1980,2024-10-06 12:44:07.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.626915,-2.967406,91
1981,2024-10-06 12:44:23.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.910575,-3.110371,317
1982,2024-10-06 12:44:20.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.830495,-3.223913,346
1983,2024-10-06 12:44:22.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.626795,-2.834806,302
1984,2024-10-06 12:44:23.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.852691,-3.190873,220
1985,2024-10-06 12:44:07.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.626915,-2.967406,91
1986,2024-10-06 12:44:45.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.602105,-2.751133,71
1987,2024-10-06 12:44:49.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.832675,-3.223383,32
1988,2024-10-06 12:45:00.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.627523,-2.837226,295
1989,2024-10-06 12:44:46.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.624740,-2.959740,135
1990,2024-10-06 12:45:14.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.913303,-3.117201,275
1991,2024-10-06 12:45:07.000,X62,11901,SK19ELV,1230,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 11:30:00.000,2024-10-06 13:30:00.000,55.833916,-3.222273,25
1992,2024-10-06 12:45:00.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.627523,-2.837226,295
1993,2024-10-06 12:45:14.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.849780,-3.199568,240
1994,2024-10-06 12:45:25.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.913223,-3.118815,258
1995,2024-10-06 12:45:23.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.604013,-2.748396,289
1996,2024-10-06 12:45:14.000,X62,12210,YX72OMK,1255,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 11:55:00.000,2024-10-06 13:55:00.000,55.849780,-3.199568,240
1997,2024-10-06 12:45:46.000,X62,11801,YX67UZB,1330,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_10,2024-10-06 12:30:00.000,2024-10-06 14:30:00.000,55.629933,-2.846873,254
1998,2024-10-06 12:45:48.000,X62,12209,YX72OML,1155,inbound,Edinburgh_Bus_Station__Stance_10,Transport_Interchange,2024-10-06 10:55:00.000,2024-10-06 12:55:00.000,55.618175,-2.951070,112
1999,2024-10-06 12:46:11.000,51,11922,SN69ZNO,1200,outbound,Transport_Interchange,Edinburgh_Bus_Station__Stance_8,2024-10-06 11:00:00.000,2024-10-06 13:22:00.000,55.914258,-3.127311,316
2000,2024-10-06 12:46:13.000,51,11702,YJ17FWS,1150,inbound,Edinburgh_Bus_Station__Stance_8,Transport_Interchange,2024-10-06 10:50:00.000,2024-10-06 12:57:00.000,55.606401,-2.750333,313
